"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,";"0.5mm-NPTH-Drill";24;"";;;
2;"C98,C6,C76,C86,C17,C74,C96,C16,C84,C43,C2,C109,C81,C11,C1,C56,C108,C5,C40,C106,C103,C39,C59,C4,C14,C55,C87,C75,C80,C38,C37,C112,C28,C5,C97,C30,C20,C6,C29,C27,C111,C8,C19,C25,C10,C102,C26,C4,C36,C73,C7,C5,C3,C35,C3,C34,C95,C89,C101,C90,C79,C9,C33";"C1206";63;"10uF";;;
3;"R13,R52,R53,R37,R12,R10,R39,R3,R50,R38,R63,R41,R36,R34,R8,R32,R11,R28,R1,R57,R6,R2,R46,R27,R48,R42,R51,R30,R44,R4";"R0603";30;"10K";;;
4;"Q4,Q3,Q9,Q1,Q15,Q7,Q18,Q16,Q17,Q12,Q5,Q14,Q11,Q10,Q8,Q19,Q6,Q13";"TRANS_TPHR8504PL,L1Q";18;"TPHR8504PL,L1Q";;;
5;",,,";"mouse-bite-3mm-slot-corner";4;"";;;
6;"D1,D12,D10";"SMC";3;"SK84L-TP";;;
7;"TP11,TP12,TP4,TP2,TP6,TP3,TP10,TP15,TP9,TP5,TP13,TP1,TP7,TP14,TP8";"WIRE_TH_PAD";15;"~";;;
8;"IC14,IC2,IC11";"SOP65P490X110-9N";3;"LM25085AMY";;;
9;"4,2,1,,,3";"";6;"";;;
10;"ST31,ST26,ST24,ST6,ST14,ST30,ST2,ST23,ST3,ST7,ST17,ST19,ST8,ST1,ST10";"STL2X1";15;"~";;;
11;"C48,C46,C47,C64,C9,C7,C45,C10,C8,C61,C63,C66,C12,C62,C50";"C0603";15;"100nF";;;
12;",,,,,,,";"mouse-bite-3mm-slot-3way";8;"";;;
13;"IC6,IC9,IC3";"QFN50P400X400X90-25N";3;"FD6288Q";;;
14;"R5,R31,R7,R33,R35,R9,R49,R45,R47";"R0603";9;"50K";;;
15;",,";"Fiducial_1mm_Mask2mm";3;"Fiducial_1mm_Mask2mm";;;
16;"R62,R56,R2";"R0603";3;"91K";;;
17;"R29,R43,R3";"R0603";3;"100K";;;
18;"IC13,IC1,IC10";"VREG_L78M06ABDT-TR";3;"L78M06ABDT-TR";;;
19;"C41,C104,C105,C82,C14,C68,C71,C70,C12,C16,C69,C1,C53,C93,C13,C54,C83,C15,C57,C52,C3,C67,C4,C51,C44,C6,C13,C60,C58,C42";"C0603";30;"1uF";;;
20;"L7,L1,L5";"WE-HCI";3;"6.8uH";;;
21;"C100,C78,C8";"c0603";3;"3.9nF";;;
22;"ST1,ST22,ST1,ST12,ST15,ST5,ST3,ST21,ST4,ST27,ST18,ST29,ST28,ST25,ST20";"STL3X1";15;"=Value";;;
23;"IC8,IC5,IC2";"UFQFPN32";3;"STM32F051K8U7_MY";;;
24;"ST13,ST2,ST16,ST2,ST9,ST11";"STL10X1";6;"=Value";;;
25;",,,";"mouse-bite-3mm-slot-4way";4;"";;;
26;"Q21,Q20,Q2";"TRANS_TPHR8504PL,L1Q";3;"SQJ461EP-T1-GE3";;;
27;"TP2,TP18,TP21,TP19,TP16,TP1,TP20,TP17,TP3";"TP";9;"~";;;
28;"R64,R4,R58";"R0603";3;"1.78K";;;
29;",";"4MM_Stencil_Hole";2;"4MM_Stencil_Hole";;;
30;"C32,C24,C23,C2,C1,C31";"CAP+_D8_3R5";6;"220uF";;;
31;"C77,C7,C99,C88,C110,C18";"c0603";6;"100nF";;;
32;"C107,C15,C85";"C0603";3;"330pF";;;
33;"R6,R60,R66";"R0603";3;"13.3K";;;
34;"L6,L2,L8";"WE-HCI";3;"8.2uH";;;
35;"D2,D3,D5,D9,D8,D6";"SOD-323";6;"NSR0240HT1G";;;
36;"R20,R3,R18,R5,R6,R23,R15,R19,R24,R4,R25,R16,R1,R21,R2,R26,R17,R22";"R0603";18;"10R";;;
37;"D4,D1,D7";"SOD-323";3;"NSR0240HT1G";;;
38;"C92,C91,C114,C22,C21,C113";"C0603";6;"1uF";;;
39;"R65,R5,R59";"R0603";3;"96K";;;
40;"D2,D11,D13";"SMB_DO-214AA";3;"SK24_R1_00001";;;
41;"IC7,IC1,IC4";"SOT-23-5";3;"LP2981-33DBVTE4";;;
42;"C65,C11,C49";"c0603";3;"10nF";;;
43;"L3,L4,L1";"L0603";3;"600OHM";;;
44;"R61,R1,R55";"R0603";3;"2.55K";;;
45;"C2,C72,C94";"c0603";3;"1nF";;;
46;"R14,R40,R54";"R0603";3;"2K2";;;
47;"IC3,IC12,IC15";"SOT95P280X145-5N";3;"LMR62014XMFE/NOPB";;;
